Site No.,Aquifer thickness,Plume length,Plume length,ED,EA (O2),"Ham (W= 3M, ath=0.1)","Ham (W= 5M, ath=0.1)","Chu (W= 3M, ath=0.1)","Chu (W= 5M, ath=0.1)","Liedl, atv=0.01","Liedl, atv=0.001","Maier, atv=0.01","Maier, atv=0.001"
,[m],[ft],[m],[mg/l],[mg/l],(m),(m),(m),(m),(m),(m),(m),(m)
74,17.5,0,600,10,8,33789.9901326564,93861.0837018234,76104.6218389764,231592.941198633,22786.7665939334,227867.665939334,23077.9910204161,230779.910204161
75,3.3,0,450,0.2166,0.23,681.994785168382,1894.42995880106,1536.04529085766,4674.31856473462,713.700296204269,7137.00296204269,753.799705421905,7537.99705421905
76,10,0,160,1.2,1,10168.4424183694,28245.6733843593,22902.2104446696,69693.4055865013,7309.27535387124,73092.7535387124,7443.94700388371,74439.4700388371
77,1.25,0,120,0.015,8,0.00038789529489,0.001077486930251,0.0008736499956,0.002658592437229,15.668986162806,156.68986162806,16.7405339660261,167.405339660261
78,30,0,300,10,8,99301.1954918883,275836.654144134,223654.398873726,680599.663930677,66965.1916229881,669651.916229881,67821.0348355086,678210.348355086
79,30,0,300,0.6,8,357.484303770798,993.011954918882,805.155835945415,2450.15879015044,16524.925740704,165249.25740704,29161.4951581985,291614.951581985
80,30,0,300,0.2,8,39.7204781967553,110.334661657654,89.4617595494906,272.239865572271,11567.7218379413,115677.218379413,20973.6207536576,209736.207536576
81,30,0,300,0.009,8,0.08043396834843,0.223427689856749,0.181160063087718,0.551285727783848,8939.83858392522,89398.3858392522,8272.50741162571,82725.0741162571
82,30,0,150,0.001,8,0.000993011954919,0.002758366541441,0.002236543988737,0.006805996639307,8825.52935605923,88255.2935605923,4279.21800397112,42792.1800397112
83,11,0,50,0.65,7.5,64.1773083374182,178.270300937273,144.54546338983,439.864336678508,2364.97546060952,23649.7546060952,4094.39649767219,40943.9649767219
84,3.3,0,450,10,0.23,1453664.38164307,4037956.61567519,3274063.63871103,9963258.59636893,2279.75188913619,22797.5188913619,2379.89845851283,23798.9845851283
85,6.2,0,325,22,2,328443.514680669,912343.096335191,739747.759087951,2251116.35972332,5939.11802822938,59391.1802822938,5562.24460295996,55622.4460295996
86,30,0,300,3,8,8937.10759426994,24825.2988729721,20128.8958986354,61253.9697537609,37195.7244572928,371957.244572928,47260.7694975585,472607.694975585
87,3.3,0,450,11.5,0.23,1922471.14472296,5340197.62423043,4329949.16219534,13176409.4936979,2341.01772261445,23410.1772261445,2481.80571220925,24818.0571220925
88,3,0,400,0.05,8,0.024825298872972,0.068959163536034,0.055913599718432,0.170149915982669,95.2011608863517,952.011608863517,138.374292510009,1383.74292510009
89,3,0,300,0.05,8,0.024825298872972,0.068959163536034,0.055913599718432,0.170149915982669,95.2011608863517,952.011608863517,138.374292510009,1383.74292510009
90,5,0,120,0.5,8,6.89591635360335,19.1553232044538,15.5315554773421,47.2638655507415,426.315100338851,4263.15100338851,766.925031126948,7669.25031126948
91,1.52,0,300,0.01,8,0.000254917202294,0.000708103339705,0.000574145692398,0.001747174959495,22.9861749455895,229.861749455895,21.9184116190609,219.184116190609
92,1.52,0,300,0.01,8,0.000254917202294,0.000708103339705,0.000574145692398,0.001747174959495,22.9861749455895,229.861749455895,21.9184116190609,219.184116190609
93,1.65,0,200,0.1,8,0.030038611636296,0.083440587878601,0.067655455659302,0.20588139833903,30.9018921073386,309.018921073387,51.5335179952114,515.335179952114
94,5.35,0,200,4.4,0.7,79856.2254364921,221822.8484347,179858.822523263,547325.940293324,3797.33532257557,37973.3532257557,3501.57033037636,35015.7033037636
95,4.3,0,100,0.001,1.4,0.000666151149078,0.001850419858549,0.001500360937932,0.004565727994949,182.700378107261,1827.00378107261,148.302133604235,1483.02133604235
96,20,0,130,0.01,8,0.044133864663062,0.122594068508504,0.09940195505499,0.302488739524745,3979.60092548294,39796.0092548294,3794.73885371552,37947.3885371552
97,29,0,400,8.92,4,295323.266536402,820342.40704556,665151.585773404,2024113.75774427,79119.5765960089,791195.765960089,75393.9250422538,753939.250422539
98,8,0,30,0.001,8,7.06141834608983E-05,0.000196150509614,0.000159043128088,0.00048398198324,627.593198653101,6275.93198653101,304.299946949058,3042.99946949058
99,2.5,0,300,0.01,8,0.00068959163536,0.001915532320445,0.001553155547734,0.004726386555074,62.1812644606709,621.812644606709,59.2927945893051,592.927945893051
100,1,0,900,9.8,8,105.965409056011,294.348358488918,238.66409408703,726.275463598914,73.7545780465184,737.545780465184,74.9013637976101,749.013637976101
101,10,0,750,5.6,8,3460.09498958402,9611.37497106672,7793.11327631118,23715.11717874,5690.56279308328,56905.6279308328,6332.54538097796,63325.4538097796
102,8.5,0,60,0.6,8,28.6980454971557,79.7167930476547,64.6361212745069,196.693302875966,1326.58431640651,13265.8431640651,2341.02002797761,23410.2002797761
103,8.5,0,100,0.88,8,61.7326845361039,171.479679266955,139.039478652717,423.109149297633,1576.11117914827,15761.1117914827,2626.05946270663,26260.5946270663
104,8.5,0,100,0.6,8,28.6980454971557,79.7167930476547,64.6361212745069,196.693302875966,1326.58431640651,13265.8431640651,2341.02002797761,23410.2002797761
105,8.5,0,100,0.2,8,3.18867172190619,8.85742144973942,7.181791252723,21.8548114306629,928.631003101401,9286.31003101401,1683.71566605751,16837.1566605751
106,8.5,0,62.5,0.2,8,3.18867172190619,8.85742144973942,7.181791252723,21.8548114306629,928.631003101401,9286.31003101401,1683.71566605751,16837.1566605751
107,8.5,0,62.5,0.13,8,1.34721380250537,3.7422605625149,3.03430680427547,9.23365782945506,853.068358292551,8530.68358292551,1479.59467548628,14795.9467548628
108,75,0,80,0.25,8,387.895294890188,1077.48693025052,873.649995600494,2658.59243722921,76409.290952292,764092.90952292,140160.75623065,1401607.5623065
109,75,0,80,0.16,8,158.881912787021,441.338646630615,357.847038197962,1088.95946228908,68955.2129177953,689552.129177954,122597.164094241,1225971.64094241
